Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Rapado,1992,18,"After the theft of his motorcycle, Lucio bums aimlessly around Buenos Aires drifting from one arcade and record store to the next, indulging in short chats with friends and, more often, setting out onto the streets alone.",es,https://image.tmdb.org/t/p/w500/iUt4T9rSkNKPzywrYrDU4io12qt.jpg,6.5,Martín Rejtman,"A.K. Films International, INCAA, Hubert Bals Fund, Producciones Kilimanjaro",
The Reincarnation of Khensur Rinpoche,1992,99,"Choenzey is a 47-year-old monk living in a Tibetan refugee monastery in South India. His spiritual master, Khensur Rinpoche, a revered high lama, has been dead for four years. According to Tibetan belief, he will soon be reincarnated. It is Choenzey's responsibility, as his closest disciple, to find the reincarnation and to look after him. The film follows Choenzey's search and his eventual discovery of an impish but gentle 4-year-old boy who is recognized by His Holiness the Dalai Lama and the Tibetan State Oracle to be the reincarnation. Without sentimentality, the film captures the moving relationship that develops between the erstwhile disciple and his young master. (columbia.edu)",en,N/A,0,Ritu Sarin,,
Rescue Me,1992,"28, 35","Fraser's unrequited love for the beautiful and rich Ginny gets a chance to prove itself, when she is suddenly kidnapped. He teams up with rebel Mac, who's got a score to settle with the kidnappers. Together they cross the country, looking for Ginny and the bad guys.",en,https://image.tmdb.org/t/p/w500/xOJibGA1OejhwSdjFd6v9EqECHq.jpg,4.6,Arthur Allan Seidelman,"Apollo Pictures, The Cannon Group",
Heading for England,1992,,"A man from the province looks back on his graduation year, some teachers, the parental home and especially his father.",nl,https://image.tmdb.org/t/p/w500/t5j8dKD6HUThuT6yknqfioPMCEa.jpg,0,André van Duren,NCRV,
Ricky & Barabba,1992,35,A wealthy millionaire decided to commit suicide but meets a homeless with whom he experiences a lot of funny adventures until finally makes order in his life.,it,https://image.tmdb.org/t/p/w500/cUvuTc1cRfpSpWBI6KEhShqkE0p.jpg,5.778,Christian De Sica,"Alto Verbano, Penta Film",
Ruby Cairo,1992,"9648, 53",Baseball cards and a food-aid worker help a woman follow her shady husband's money trail around the world.,en,https://image.tmdb.org/t/p/w500/4K5XRQrCfALbGoLBsJb7hUwDZGV.jpg,4.9,Graeme Clifford,"Miramax, Majestic Films International",
Russian Pizza Blues,1992,35,"Four parallel stories about a Russian and his daughter trying to get to his wife's Russian Pizza House in New York, but they are stranded in Copenhagen. A girl getting married. A man finding his brother and starting a new life in the city. Two men working at a bridge. And it's all happening the same night.",da,https://image.tmdb.org/t/p/w500/as2SZ9PgYfDc5hgqWP1AnneM1ED.jpg,6,Steen Rasmussen,Filmkonsortiet Zanzibar,
Samba Traoré,1993,18,"Samba (Bakary Sangare) has returned unannounced to his home village, bringing with him a suitcase full of money. Despite his protests that this is money that he earned in the city, the villagers have their doubts. In fact, he held up a gas station and unintentionally killed its attendant, and is in hiding here. Meanwhile, he has married a woman (Mariam Kaba) with a child who left her husband and built a house for her. He is building a bar with his remaining money, but he encounters a situation which makes him believe that he will be exposed to the police, and runs away, leaving a pregnant, very ill wife behind, much to the disgust of the villagers and Samba's own family.",bm,https://image.tmdb.org/t/p/w500/if9zY2Owd4tlBKoAFaRzXfSPgaa.jpg,5.6,Idrissa Ouedraogo,"Waka Films, Films A2, Films de L'Avenir, Les Films de l'Avenir, Les Films de la Plaine",
Der schwarze Kasten,1992,"99, 18","Interview with Jochen Girke, a retired East German Stasi agent, filmed March, 1990 to June, 1991. Questions explore his study of psychology for use as a filmmaker and trainer of interrogators and informers. Segments include conversations with his parents, teacher, former girlfriend and wife.",de,https://image.tmdb.org/t/p/w500/yDmwWEIiKqNWCuIK8tjdybS9IO7.jpg,0,Tamara Trampe,"WDR, Max Film Wolfgang Pfeiffer Filmproduktion (Berlin)",
Search for Diana,1992,,Dancer Diana Calenti stars as a Toronto choreographer who believes she's the reincarnation of an Egyptian high priestess.,en,N/A,0,Milad Bessada,,
Shadow Force,1992,,Policemen by Day - Assassins at Night. A story all too familiar yet amazing to see. Follow the daily lives of corrupt policemen as they make a fortune as assassins.,en,https://image.tmdb.org/t/p/w500/gmtTmOJiSqkFHjIqhvub1JUOnqF.jpg,0,Ken Lamkin,,
Family Portrait,1992,18,"After laying bare backward village mentalities in Bloody Morning, Li Shaohong turns her attention to China’s urban middle class. Cao is a photographer, married to an opera singer and with an infant son, caught in the usual professional morass of political compromise. His life starts to fall apart when he learns that his ex-wife also bore him a son some months after their divorce – and when the boy turns up looking for his father. Nothing wildly dramatic, just believable people in believable situations. If the ending seems a touch forced, this is nevertheless a sign that ‘Fifth Generation’ cinema is changing and coming to terms with up-to-date realities.",zh,https://image.tmdb.org/t/p/w500/scvxruQeOIAkiuLx8ERdSlhWO04.jpg,6.2,Li Shaohong,,
The Snooks,1992,10751,"The Snooks (singular!) derives his name from the Danish expression ""leaving the Snooks behind"" much used by 7-year-old Eigil's parents to indicate somebody's going nuts. This being a live action-cum-puppet animation film, Eigil's own imagination turns the Snooks into an amiable gnome-like little fellow and best friend during a summer holiday. When they are being joined by a cat, the fun really begins.",da,https://image.tmdb.org/t/p/w500/c4Cfomk5ACdEbYN6WgNDMFtOwOC.jpg,5.7,Jørgen Vestergaard,Nordisk Film Denmark,
Remote Control,1992,35,"Since his mother wants to watch TV, Axel, a young auto-mechanic, must recover her remote control, accidentally taken by his punk sister Maja. During his quest, he becomes involved in the conflict between Moli, the liquor smuggler, and Aggi, a night club owner who wants to be Iceland's first mafia boss.",is,https://image.tmdb.org/t/p/w500/9p6Wnan3kVu4KOGSWtGLsU8yHtZ.jpg,6.4,Óskar Jónasson,,
Sognando la California,1992,35,,it,https://image.tmdb.org/t/p/w500/ybq2uYJvXH7zkBmpHbJRWusquRn.jpg,5.2,Carlo Vanzina,Filmauro,
Strange Horizons,1992,878,The story of a war between men and women in the 23rd century.,en,https://image.tmdb.org/t/p/w500/eU6IgW7hNZqvYSlE6cREtzLFE0X.jpg,3.3,Philip Jackson,"Spence-Thomas Audio, Lightscape Motion Picture Company, Super Écran, Téléfilm Canada, multiple media entertainment, Prism Entertainment, starfield independent studios, digital magic house, boomerang art and design, catherine rankin productions, Hollywood Canada Productions, Motion Picture Video, ps production services",
The Seventh Horse of the Sun,1992,"18, 10749","A man shares some lazy memories about his friend, Manek Mulla, who had a knack for telling stories. On this particular afternoon, Manek narrates a 'unique' love affair with the help of different stories, various characters' point of views and the social relevance of these stories. As these stories proceed, reality mixes with fiction.",hi,https://image.tmdb.org/t/p/w500/6p1Y2d20ydB49fiS7CEvJLqIan2.jpg,7.4,Shyam Benegal,National Film Development Corporation of India,
Svarte pantere,1992,"80, 18","After a series of ever more daring raids on laboratories and farms to rescue what they believe are mistreated animals, a radical commune of animal liberationists find themselves under a vicious attack by the very groups they had expected the least trouble from: other (more moderate) animal liberation groups. At the instigation of these more moderate groups, the only rich boy in the group is arrested, and he becomes subject to a smear campaign which has him bedding all the women in the group - a particularly damaging libel, because one of the girls is underage. This is the first film to be directed by Thomas Robsahm, the Norwegian son of the great Italian actor, Ugo Tognazzi (now deceased)",no,https://image.tmdb.org/t/p/w500/1IQczXKoohtsjmqy8iDnliAtWta.jpg,8,Thomas Robsahm,Speranza Film,
The Swordsman,1992,14,"Cop and accomplished fencer Andrew is assigned to protect archaeologist and museum curator Julie Wilkins, the only witness to the theft of the legendary sword of Alexander the Great. Andrew has recurring dreams about two men having a sword fight in what is to be a historical place. At his fencing club he meets Stratos, initiator of a deadly swordplay competition, who seems to be the key to both Andrew's haunting visions and the loss of Alexander's sword.",en,https://image.tmdb.org/t/p/w500/4agc8dypZZcmQGMVrKUtwO0UIAV.jpg,3.8,Michael Kennedy,,
Squadron,1992,"18, 36, 10749","A young Russian aristocrat, Baron Fyodor Jeremin, volunteers to serve with a Dragon squadron to impress the girl who rejected his love. Just at this time the 1863 insurrection explodes in Poland. He enlists to serve in the army being sent to suppress the revolt. He believes that now it's enough to defeat the Poles, become an officer and hero, get a bunch of medals, and then return and lay all of this at the feet of her beloved. However, the ""little Polish war"" looks completely different to the way that young Jeremin imagined it to be. In course of time, he learns to be on the wrong side. But there is no escape - he must kill or he will be killed. What's more, he falls in love with a beautiful Polish girl...",pl,https://image.tmdb.org/t/p/w500/nmcPb3U3dXzf1WNmZFpf3WHsb4r.jpg,5.5,Juliusz Machulski,A.K. Productions,
The Terrorists!,1992,"18, 80, 10770",A group of terrorists want to improve the political clima in Germany by assassinating a leading Poltican. A grotesque which becomes quite serious.,de,https://image.tmdb.org/t/p/w500/wqnxASaans7jYVJLx3oIpd3nXbW.jpg,5.3,Philip Gröning,Philip Groening Filmproduktion [de],
Thank God I'm a Lesbian,1992,,"An uplifting and entertaining documentary about the diversity of lesbian identities. Inclusive of various and often contradictory points of view, THANK GOD I'M A LESBIAN successfully proposes an alternate vision of self and community that is realistic and positive.",en,https://image.tmdb.org/t/p/w500/gHVePeeKawcWDMxUfomV1Yz6mHo.jpg,1.8,Dominique Cardona,,
To Sleep with a Vampire,1993,"18, 27, 10749, 53","Scott Valentine is a vampire who is torn between his need to feed and his desire to learn about the world of humans. But when he kidnaps Nina, a beautiful but troubled stripper, his world is turned upside down. For after she discovers that he cannot be hurt physically, Nina tries a new tactic... seduction.",en,https://image.tmdb.org/t/p/w500/5OmRwkmvfzq90Vv1xr3dmlP3Iut.jpg,4.1,Adam Friedman,New Horizons Picture,
To the Death,1992,28,"Kickboxing champ Rick Quinn decides to retire from the ring, but his main adversary, Denard, wants him to fight again and murders Quinn's wife. Quinn suspects Denard, but can't do anything. Three month later, Quinn is jailed after a drunken bar brawl; a rich man named Le Braque bails him out and asks him to fight for him.",en,https://image.tmdb.org/t/p/w500/4sJKjmObQLyJrdsDpRMvseSn1do.jpg,3,Darrell James Roodt,"The Cannon Group, Distant Horizon",
Faraway Sunset,1992,18,"Faraway Sunset tells the story of the famed bacteriologist who is known to have discovered the agent that cause syphilis, and for his relentless search for a cure to yellow fever. As a toddler, his mother's neglect had caused an accident to his left hand, fusing together all the fingers in a bizarre twist of fate. Naturally extremely remorseful for being the cause of her son's handicap, she does everything she could to ensure that he gets to lead a normal life, despite having to fend off bullies and unfair prejudices.",ja,https://image.tmdb.org/t/p/w500/eANpUXuAdTCnn9sMyp3bpZFX0Da.jpg,0,Seijiro Koyama,Shochiku,
Sun of the Sleepless,1992,"80, 18","The director dedicated this lyrical, epic film-confession to the memory of his father who was a doctor. The film’s protagonist, an ambulance doctor, conducts dangerous experiments in search of a vitally important vaccine. His wife believes in his work, though his daughter would not understand him. His son, who is absolutely unlike his father in character, is trying to protect him. But self-denial in the name of science proves too high a price. Just when he is on the verge of discovery, the doctor loses everything he has gathered as a result of his twenty-year-long work. This loss brings him even closer to his son. The shooting of the film continued for seven years (1985-1992), making it a metaphorical culmination of the Soviet cinematography and the Soviet way of life as a whole.",ka,https://image.tmdb.org/t/p/w500/pR3ADFZHhDaxe24eKpMKZjwD2xG.jpg,5.1,Temur Babluani,"Adam da Eva, Georgianfilm",
The Unnamable II,1992,27,"A creature of demonic nature, too hideous to have a name, once again terrorizes the college kids that summoned it.",en,https://image.tmdb.org/t/p/w500/4hqRGLDf5HJwbDTxfsipgWtqRis.jpg,4.8,Jean-Paul Ouellette,Yankee Classic Pictures,
Wallpaper: An Erotic Love Story,1992,"35, 18","Two young friends, Lass and Sveppi, run a nightclub in downtown Reykjavik. They hire a beautiful young singer, Sól, who has just moved from the countryside to the city in order to take singing lessons. The boys make a bet which one will get the girl into bed first. As times goes on, Lass realises that he is in love with Sól and wants to give up the bet. Sveppi, on the other hand, has no interest in giving up the bet. Dos jóvenes amigos, Lass y Sveppi, van a un club nocturno en los suburbios de Reykjavik. Contratan a una cantante joven y hermosa, Sol, que acaba de mudarse del campo a la ciudad a fin de tomar clases de canto. Los chicos hacen una apuesta de cual de los dos se llevará a la chica a la cama primero. Luego, Lass se da cuenta de que está enamorado de Sol y quiere renunciar a la apuesta. Sveppi, en cambio, no tiene ningún interés en renunciar a ello. (FILMAFFINITY)",is,https://image.tmdb.org/t/p/w500/tJRKsyQcY3jxDsmINiVcGZ3LGep.jpg,4.8,Júlíus Kemp,,
"Goodbye, Trainmen",1992,18,"Small-town boys Vähy and Hapa are best friends who swear an eternal blood oath. As they grow up, however, their paths drift apart and they both find themselves searching for their place in the world.",fi,https://image.tmdb.org/t/p/w500/v1plgUtYD66SNiLiT94g1kS9yHK.jpg,5.8,Kari Paljakka,"Villealfa Filmproductions, Filmitakomo",
Videograms of a Revolution,1992,99,"Videograms of a Revolution is a 1992 documentary film compiled by Harun Farocki and Andrei Ujică from over 125 hours of amateur footage, news footage, and excerpts from the Bucharest TV studio overtaken by demonstrators as part of the December 1989 Romanian Revolution.",de,https://image.tmdb.org/t/p/w500/p0thKXkmhiZDSpRW8gyciAdMi9f.jpg,7.8,Harun Farocki,"Bremer Institut Film & Fernsehen, Harun Farocki Filmproduktion",
For a Lost Soldier,1992,18,"Separated from his family in the Dutch countryside, young boy Jeroen crosses paths with Walt, a Canadian soldier who takes him under his care.",nl,https://image.tmdb.org/t/p/w500/y1aoHD7o12xePr810DvTp6OrkFA.jpg,6.7,Roeland Kerbosch,"AVRO, Sigma Film Productions",
